"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 15:07:36 UTC 2025","Mon Jul 21 15:07:40 UTC 2025","4419","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","multiselectMenuTest","multiselectMenuTest()",""
"passed","Mon Jul 21 14:58:09 UTC 2025","Mon Jul 21 14:58:10 UTC 2025","239","","tests.junit5.api.tests.petsapi.PetTestRefactor","","tests.junit5.api.tests.petsapi.PetTestRefactor","createNewPetTest","createNewPetTest()",""
"passed","Mon Jul 21 15:11:27 UTC 2025","Mon Jul 21 15:11:30 UTC 2025","2435","","tests.junit5.ui.pdf_xls.SelenideFileTests","","tests.junit5.ui.pdf_xls.SelenideFileTests","readPdfTest","readPdfTest()",""
"passed","Mon Jul 21 14:59:48 UTC 2025","Mon Jul 21 14:59:49 UTC 2025","367","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","negativeRegisterNoPasswordTest","negativeRegisterNoPasswordTest()",""
"passed","Mon Jul 21 14:59:25 UTC 2025","Mon Jul 21 14:59:26 UTC 2025","1135","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","testGetGameByIdSuccess","testGetGameByIdSuccess(FullUser)",""
"broken","Mon Jul 21 15:08:40 UTC 2025","Mon Jul 21 15:09:02 UTC 2025","21864","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","alertConfirmBoxTest","alertConfirmBoxTest()",""
"passed","Mon Jul 21 15:10:03 UTC 2025","Mon Jul 21 15:10:08 UTC 2025","4722","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","sliderTest","sliderTest()",""
"passed","Mon Jul 21 15:08:35 UTC 2025","Mon Jul 21 15:08:40 UTC 2025","4462","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","menuTest","menuTest()",""
"failed","Mon Jul 21 14:57:59 UTC 2025","Mon Jul 21 14:57:59 UTC 2025","83","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","","tests.junit5.api.tests.fakeapi.SimpleApiRefactoredTests","updateUserTest","updateUserTest()",""
"passed","Mon Jul 21 14:58:31 UTC 2025","Mon Jul 21 14:58:33 UTC 2025","1989","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","addGameSuccess","addGameSuccess()",""
"passed","Mon Jul 21 15:11:48 UTC 2025","Mon Jul 21 15:11:48 UTC 2025","537","","tests.junit5.ui.pdf_xls.SelenideFileTests","","tests.junit5.ui.pdf_xls.SelenideFileTests","readXlsxTest","readXlsxTest()",""
"passed","Mon Jul 21 15:08:08 UTC 2025","Mon Jul 21 15:08:17 UTC 2025","9540","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","","tests.junit5.ui.base_tests.selenium.elements.HardElementsTests","alertVisibleAfter5secTest","alertVisibleAfter5secTest()",""
"passed","Mon Jul 21 14:59:49 UTC 2025","Mon Jul 21 14:59:50 UTC 2025","729","","tests.junit5.api.tests.swagger.UserTests","","tests.junit5.api.tests.swagger.UserTests","negativeDeleteAdminTest","negativeDeleteAdminTest()",""
"passed","Mon Jul 21 15:02:47 UTC 2025","Mon Jul 21 15:02:53 UTC 2025","5630","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [5] А3, Цветная, заливка до 100%, Нет, 1, 72",""
"failed","Mon Jul 21 14:58:00 UTC 2025","Mon Jul 21 14:58:00 UTC 2025","85","","tests.junit5.api.tests.fakeapi.SimpleApiTests","","tests.junit5.api.tests.fakeapi.SimpleApiTests","getAllUsersTest","getAllUsersTest()",""
"passed","Mon Jul 21 14:59:01 UTC 2025","Mon Jul 21 14:59:04 UTC 2025","2470","","tests.junit5.api.tests.swagger.GameTests","","tests.junit5.api.tests.swagger.GameTests","updateGameIdFieldError","updateGameIdFieldError()",""
"passed","Mon Jul 21 14:58:09 UTC 2025","Mon Jul 21 14:58:09 UTC 2025","516","","tests.junit5.api.tests.petsapi.PetTestRefactor","","tests.junit5.api.tests.petsapi.PetTestRefactor","getPetByStatusTest","getPetByStatusTest()",""
"passed","Mon Jul 21 15:02:58 UTC 2025","Mon Jul 21 15:03:03 UTC 2025","4977","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","","tests.junit5.ui.base_tests.selenium.CopyruemCalculatorTests","checkTotalSumTest","checkTotalSumTest(String, String, String, String, String) [6] А3, Черно-белая, В формат А4, 1, 42",""
